State/UT,District,Year,MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,ROBBERY,BURGLARY,RIOTS,DOWRY DEATHS,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL CRIMES
BIHAR,ARARIA,2001,36,0,14,19,14,5,40,239,130,4,102,0,109,569,1262
BIHAR,ARARIA,2001,61,0,28,16,6,10,49,193,139,6,247,0,172,580,1491
BIHAR,ARARIA,2001,68,1,22,25,15,10,62,264,272,2,177,0,174,820,1887
BIHAR,ARARIA,2001,32,3,39,4,1,3,15,195,63,5,60,0,90,733,1239
BIHAR,ARARIA,2001,49,1,22,22,18,4,27,227,246,35,223,0,155,877,1884
BIHAR,ARWAL,2001,83,0,19,16,12,4,30,238,157,5,389,0,259,1186,2382
BIHAR,ARWAL,2001,43,0,16,12,8,4,46,209,120,5,172,0,109,587,1319
BIHAR,ARWAL,2001,54,3,26,21,13,8,32,299,129,19,80,0,279,915,1857
BIHAR,ARWAL,2001,42,0,7,22,22,0,31,157,211,38,150,0,134,805,1597
BIHAR,ARWAL,2001,295,6,127,148,12,136,406,2863,196,18,198,0,709,6095,11061
BIHAR,ARWAL,2001,12,1,2,1,0,1,29,3,13,0,0,0,2,97,160
BIHAR,ARWAL,2001,112,2,39,64,51,13,171,1388,235,7,218,0,223,3076,5535
BIHAR,ARWAL,2001,12,0,2,0,0,0,20,2,18,2,0,0,3,170,229
BIHAR,ARWAL,2001,101,6,81,23,16,7,58,501,180,3,141,0,254,1574,2922
BIHAR,ARWAL,2001,80,4,23,41,36,5,93,426,217,21,202,0,127,1655,2889
BIHAR,ARWAL,2001,44,0,16,6,6,0,5,68,80,2,78,0,59,268,626
BIHAR,ARWAL,2001,25,2,9,14,9,5,16,263,139,3,99,0,138,572,1280
BIHAR,AURANGABAD,2001,50,1,5,20,5,15,68,109,2,0,3,0,0,207,465
BIHAR,AURANGABAD,2001,16,0,4,0,0,0,16,0,0,0,0,0,0,39,75
BIHAR,AURANGABAD,2001,22,1,2,8,2,6,12,10,0,0,0,0,0,66,121
BIHAR,AURANGABAD,2001,164,2,26,55,11,44,125,170,8,0,4,0,0,511,1065
BIHAR,AURANGABAD,2001,12,4,26,0,0,0,8,265,1,0,1,0,12,94,423
BIHAR,AURANGABAD,2001,2,0,7,1,0,1,0,37,0,0,0,0,0,69,116
BIHAR,AURANGABAD,2001,3,1,6,0,0,0,0,19,1,0,0,0,7,53,90
BIHAR,AURANGABAD,2001,2,0,2,0,0,0,0,10,0,0,0,0,0,112,126
BIHAR,AURANGABAD,2001,5,0,3,0,0,0,0,47,0,0,0,0,0,27,82
BIHAR,AURANGABAD,2001,4,0,0,0,0,0,13,1,1,0,15,2,0,20,56
BIHAR,AURANGABAD,2001,2,0,3,0,0,0,1,29,0,0,0,0,0,124,159
BIHAR,AURANGABAD,2001,1,0,5,1,1,0,1,9,0,0,0,1,4,0,22
BIHAR,BAGAHA,2001,23,6,11,14,9,5,6,45,0,6,25,0,70,125,331
BIHAR,BAGAHA,2001,19,2,3,3,2,1,1,41,0,1,16,0,46,69,201
BIHAR,BAGAHA,2001,17,2,11,13,8,5,5,52,0,4,14,0,48,120,286
BIHAR,BAGAHA,2001,56,17,23,60,46,14,16,391,0,10,232,0,300,3173,4278
BIHAR,BAGAHA,2001,26,4,6,24,6,18,1,65,0,5,33,0,207,480,851
BIHAR,BAGAHA,2001,46,0,15,28,18,10,13,111,0,10,36,0,101,336,696
BIHAR,BAGAHA,2001,37,5,10,15,10,5,6,21,0,8,27,0,67,113,309
BIHAR,BAGAHA,2001,738,80,298,513,324,189,131,1902,1,159,1128,0,2154,9204,16308
BIHAR,BAGAHA,2001,39,2,16,133,125,8,46,447,112,12,236,0,339,3848,5230
BIHAR,BAGAHA,2001,85,0,34,119,87,32,52,286,445,43,235,0,233,1862,3394
BIHAR,BAGAHA,2001,40,3,90,61,59,2,23,96,427,10,151,0,56,726,1683
BIHAR,BAGAHA,2001,36,3,81,96,94,2,32,204,167,3,124,0,50,2398,3194
BIHAR,BANKA,2001,10,0,1,4,4,0,4,2,2,8,0,0,0,48,79
BIHAR,BANKA,2001,13,2,3,3,3,0,6,39,22,3,1,0,22,39,153
BIHAR,BANKA,2001,3,2,0,3,3,0,4,8,1,0,5,0,4,37,67
BIHAR,BANKA,2001,32,3,12,54,48,6,31,174,111,4,85,0,134,602,1242
BIHAR,BANKA,2001,94,6,13,52,23,29,43,62,137,10,105,0,121,301,944
BIHAR,BANKA,2001,36,5,5,14,0,14,26,64,38,5,29,0,0,218,440
BIHAR,BANKA,2001,26,0,7,7,7,0,18,32,19,5,7,0,26,68,215
BIHAR,BANKA,2001,8,3,7,1,0,1,6,28,14,2,10,0,0,203,282
BIHAR,BANKA,2001,5,0,2,0,0,0,1,3,10,3,2,0,10,35,71
BIHAR,BANKA,2001,7,2,2,5,5,0,7,26,11,2,8,0,21,146,237
BIHAR,BANKA,2001,54,13,10,36,29,7,32,65,40,10,31,0,103,332,726
BIHAR,BANKA,2001,10,0,8,3,3,0,6,18,31,1,13,0,0,128,218
CHHATTISGARH,BALOD,2001,239,30,47,82,41,41,67,118,64,62,76,0,7,845,1637
CHHATTISGARH,BALODA BAZAR,2001,89,6,15,31,17,14,54,45,55,20,64,0,21,450,850
CHHATTISGARH,BALRAMPUR,2001,43,23,14,28,19,9,20,79,50,19,62,0,54,408,800
CHHATTISGARH,BALRAMPUR,2001,26,9,8,20,19,1,4,38,25,12,30,0,35,199,406
CHHATTISGARH,BALRAMPUR,2001,88,24,41,71,55,16,50,160,81,35,188,0,141,760,1639
CHHATTISGARH,BALRAMPUR,2001,48,13,18,28,23,5,28,101,106,22,48,0,32,690,1134
CHHATTISGARH,BALRAMPUR,2001,250,16,31,94,64,30,103,109,150,45,227,0,183,1510,2718
CHHATTISGARH,BALRAMPUR,2001,28,5,8,5,3,2,3,23,15,8,2,0,25,91,213
CHHATTISGARH,BALRAMPUR,2001,240,12,57,118,59,59,79,136,259,68,156,0,13,1913,3051
CHHATTISGARH,BALRAMPUR,2001,77,15,22,28,26,2,44,99,52,17,49,0,149,775,1327
CHHATTISGARH,BALRAMPUR,2001,132,26,28,45,27,18,36,70,22,46,59,0,163,729,1356
CHHATTISGARH,BALRAMPUR,2001,31,0,2,4,2,2,49,4,13,1,1,0,0,868,973
CHHATTISGARH,BALRAMPUR,2001,230,18,31,112,79,33,117,227,123,33,140,0,138,1469,2638
CHHATTISGARH,BALRAMPUR,2001,68,25,18,34,21,13,32,118,64,26,46,0,72,505,1008
GUJARAT,AHMEDABAD COMMR.,2001,13,0,1,3,0,3,16,11,9,0,0,0,0,110,163
GUJARAT,AHMEDABAD COMMR.,2001,28,0,35,43,35,8,13,61,129,1,64,0,99,100,573
GUJARAT,AHMEDABAD COMMR.,2001,53,0,30,44,40,4,27,95,26,0,26,0,73,363,737
GUJARAT,AHMEDABAD COMMR.,2001,71,12,37,129,64,65,73,227,151,5,98,0,311,1308,2422
GUJARAT,AHMEDABAD COMMR.,2001,18,0,24,36,34,2,8,93,160,2,28,0,26,197,592
GUJARAT,AHMEDABAD COMMR.,2001,40,2,42,37,28,9,27,43,30,2,48,0,58,363,692
GUJARAT,AHMEDABAD COMMR.,2001,37,8,21,95,65,30,41,196,55,2,27,0,52,612,1146
GUJARAT,AHMEDABAD COMMR.,2001,65,3,5,38,15,23,33,13,90,4,8,0,35,200,494
GUJARAT,AHMEDABAD COMMR.,2001,32,0,33,42,8,34,5,57,271,1,30,0,20,97,588
GUJARAT,AHMEDABAD COMMR.,2001,87,1,14,41,12,29,10,42,50,0,20,0,50,117,432
GUJARAT,AHMEDABAD COMMR.,2001,26,1,64,72,62,10,47,124,106,0,93,0,89,422,1044
GUJARAT,AHMEDABAD COMMR.,2001,20,0,23,39,37,2,10,84,79,0,28,0,45,259,587
GUJARAT,AHMEDABAD RURAL,2001,17,1,2,8,4,4,5,17,4,0,7,0,16,30,107
GUJARAT,AHMEDABAD RURAL,2001,95,3,51,119,109,10,33,288,267,1,132,0,194,701,1884
GUJARAT,AHMEDABAD RURAL,2001,79,0,30,53,27,26,39,96,4,3,15,0,27,433,779
GUJARAT,AHMEDABAD RURAL,2001,11,0,3,2,0,2,2,1,13,0,0,0,0,26,58
GUJARAT,AHMEDABAD RURAL,2001,59,0,47,64,64,0,41,1,50,0,0,0,82,546,890
GUJARAT,AHMEDABAD RURAL,2001,86,1,53,87,80,7,21,175,85,1,99,0,145,575,1328
GUJARAT,AHMEDABAD RURAL,2001,107,1,41,62,48,14,35,100,22,2,21,0,75,245,711
GUJARAT,AHMEDABAD RURAL,2001,47,4,93,79,13,66,43,80,375,11,50,0,26,944,1752
GUJARAT,AHMEDABAD RURAL,2001,37,1,0,13,0,13,8,20,76,7,14,0,21,51,248
GUJARAT,AHMEDABAD RURAL,2001,74,0,16,24,4,20,28,137,155,33,19,0,82,867,1435
GUJARAT,AHMEDABAD RURAL,2001,34,12,25,56,6,50,9,7,67,0,2,0,2,146,360
GUJARAT,AHMEDABAD RURAL,2001,93,4,34,27,10,17,39,51,196,9,16,0,0,758,1227
GUJARAT,AHWA-DANG,2001,60,2,51,49,20,29,30,49,193,6,29,0,71,904,1444
GUJARAT,AHWA-DANG,2001,7,0,0,3,1,2,19,12,9,0,0,0,0,116,166
GUJARAT,AHWA-DANG,2001,72,2,5,34,6,28,29,17,167,11,2,0,59,353,751
GUJARAT,AHWA-DANG,2001,25,1,22,23,16,7,10,34,116,4,39,0,16,481,771
GUJARAT,AHWA-DANG,2001,61,5,10,30,7,23,13,25,93,6,5,0,33,305,586
GUJARAT,AHWA-DANG,2001,56,7,11,49,15,34,31,13,157,6,10,0,18,550,908
GUJARAT,AHWA-DANG,2001,35,5,13,36,11,25,17,86,195,12,18,0,110,1503,2030
GUJARAT,AHWA-DANG,2001,114,11,44,100,35,65,79,105,365,37,47,0,36,2243,3181
GUJARAT,AHWA-DANG,2001,51,0,11,45,15,30,29,57,218,8,39,0,28,787,1273
GUJARAT,AHWA-DANG,2001,153,21,73,113,25,88,135,118,241,69,141,6,141,1867,3078
GUJARAT,AHWA-DANG,2001,13,0,2,5,1,4,15,8,13,0,1,0,0,81,138
GUJARAT,AHWA-DANG,2001,208,18,40,126,12,114,97,92,318,47,54,0,60,1006,2066
GUJARAT,AMRELI,2001,47,3,20,17,5,12,8,25,72,3,21,0,15,171,402
GUJARAT,AMRELI,2001,44,53,17,19,15,4,12,43,29,4,0,0,0,232,453
GUJARAT,AMRELI,2001,49,2,17,12,12,0,27,3,5,1,0,0,0,88,204
GUJARAT,AMRELI,2001,1507,143,567,441,279,162,647,1266,2018,217,484,2,420,8777,16489
GUJARAT,AMRELI,2001,59,10,2,17,7,10,3,47,218,1,50,0,0,770,1177
GUJARAT,AMRELI,2001,221,5,40,152,56,96,284,2108,298,40,229,0,38,11106,14521
GUJARAT,AMRELI,2001,137,2,13,37,10,27,32,405,358,30,123,0,0,2120,3257
GUJARAT,AMRELI,2001,120,2,8,27,12,15,47,212,389,4,125,0,21,2429,3384
GUJARAT,AMRELI,2001,58,1,16,14,11,3,20,179,260,5,49,0,0,1445,2047
GUJARAT,AMRELI,2001,48,4,7,19,10,9,36,154,163,2,51,0,0,2449,2933
GUJARAT,AMRELI,2001,51,4,6,24,19,5,21,108,396,1,92,0,0,1163,1866
GUJARAT,AMRELI,2001,19,0,4,5,5,0,9,72,107,7,15,0,0,437,675
GUJARAT,ANAND,2001,32,0,2,11,7,4,32,109,67,9,48,0,0,794,1104
GUJARAT,ANAND,2001,53,1,12,14,4,10,0,167,212,6,51,0,0,942,1458
GUJARAT,ANAND,2001,33,9,12,11,5,6,13,137,261,1,52,0,16,857,1402
GUJARAT,ANAND,2001,12,0,1,1,0,1,11,9,16,1,0,0,0,174,225
GUJARAT,ANAND,2001,56,1,12,14,10,4,15,206,260,6,134,0,0,1864,2568
GUJARAT,ANAND,2001,80,4,6,21,4,17,27,237,234,28,44,0,4,1738,2423
GUJARAT,ANAND,2001,16,0,2,2,0,2,12,93,107,0,16,0,6,1231,1485
GUJARAT,ANAND,2001,17,0,4,5,3,2,5,70,118,3,34,0,0,1474,1730
GUJARAT,ANAND,2001,1626,74,293,559,271,288,847,6394,6686,220,1755,0,100,47301,65855
GUJARAT,ANAND,2001,22,2,21,8,6,2,18,227,419,1,105,0,0,4516,5339
GUJARAT,ANAND,2001,22,0,2,2,0,2,1,5,6,0,4,0,0,15,57
GUJARAT,ANAND,2001,44,7,38,20,7,13,80,592,626,3,161,0,0,9669,11240
HARYANA,AMBALA,2001,3,0,10,13,11,2,4,37,56,3,22,0,47,361,556
HARYANA,AMBALA,2001,11,4,12,13,10,3,1,77,62,2,24,0,45,476,727
HARYANA,AMBALA,2001,6,1,9,5,5,0,2,57,38,0,20,0,64,319,521
HARYANA,AMBALA,2001,119,11,124,126,105,21,28,844,628,10,317,0,483,6052,8742
HARYANA,AMBALA,2001,74,0,6,59,36,23,16,126,67,0,0,0,23,435,806
HARYANA,AMBALA,2001,25,0,1,14,13,1,4,21,10,0,0,0,0,196,271
HARYANA,AMBALA,2001,144,2,28,75,59,16,16,114,146,0,0,0,22,492,1039
HARYANA,AMBALA,2001,6,0,12,10,10,0,0,24,15,0,3,0,39,480,589
HARYANA,AMBALA,2001,78,6,7,40,34,6,2,65,88,0,0,0,22,241,549
HARYANA,AMBALA,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,AMBALA,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,AMBALA RURAL,2001,104,0,7,15,15,0,6,19,17,0,1,0,18,202,389
HARYANA,AMBALA URBAN,2001,24,2,5,33,31,2,0,28,50,0,0,0,11,132,285
HIMACHAL PRADESH,BADDIPOLICEDIST,2001,17,2,6,4,1,3,6,31,1,4,15,0,88,127,301
HIMACHAL PRADESH,BADDIPOLICEDIST,2001,74,6,38,88,46,42,23,250,0,11,249,0,208,1311,2258
HIMACHAL PRADESH,BADDIPOLICEDIST,2001,26,9,9,10,6,4,1,14,0,9,20,0,83,107,288
HIMACHAL PRADESH,BADDIPOLICEDIST,2001,25,1,6,5,4,1,0,31,0,2,3,0,0,108,181
JAMMU & KASHMIR,ANANTNAG,2001,15,2,35,1,1,0,8,122,190,0,59,0,0,823,1255
JAMMU & KASHMIR,ANANTNAG,2001,472,111,562,183,97,86,517,4474,8108,27,2561,0,0,54544,71559
JAMMU & KASHMIR,ANANTNAG,2001,56,8,87,11,11,0,7,229,42,3,72,0,51,1310,1876
JAMMU & KASHMIR,ANANTNAG,2001,41,3,34,2,2,0,18,130,35,5,18,0,71,473,830
JAMMU & KASHMIR,ANANTNAG,2001,56,1,95,19,16,3,18,199,9,7,71,0,59,1112,1646
JAMMU & KASHMIR,ANANTNAG,2001,63,2,31,47,20,27,28,223,99,34,54,0,88,1313,1982
JAMMU & KASHMIR,ANANTNAG,2001,61,0,106,55,48,7,99,852,77,15,132,0,272,9372,11041
JAMMU & KASHMIR,ANANTNAG,2001,5,0,1,2,2,0,25,10,3,0,0,0,2,257,305
JAMMU & KASHMIR,ANANTNAG,2001,54,1,65,28,23,5,42,240,104,20,46,0,96,1718,2414
JAMMU & KASHMIR,ANANTNAG,2001,78,2,93,18,16,2,18,165,26,10,109,0,98,1335,1952
JAMMU & KASHMIR,ANANTNAG,2001,43,0,66,18,10,8,24,114,54,28,58,0,0,920,1325
JAMMU & KASHMIR,ANANTNAG,2001,53,0,12,25,8,17,26,87,30,8,18,0,38,908,1205
JAMMU & KASHMIR,AWANTIPORA,2001,26,6,12,21,16,5,31,72,23,16,30,0,32,728,997
JAMMU & KASHMIR,AWANTIPORA,2001,21,0,24,14,14,0,30,103,21,16,42,0,85,758,1114
JAMMU & KASHMIR,AWANTIPORA,2001,15,1,12,5,5,0,12,46,6,4,13,0,133,280,527
JAMMU & KASHMIR,AWANTIPORA,2001,29,0,30,17,17,0,34,75,91,0,9,0,31,701,1017
JAMMU & KASHMIR,AWANTIPORA,2001,24,2,34,25,25,0,19,74,44,4,29,0,2,104,361
JAMMU & KASHMIR,AWANTIPORA,2001,24,1,11,15,15,0,21,56,16,24,57,0,85,320,630
JAMMU & KASHMIR,AWANTIPORA,2001,62,2,38,19,19,0,16,85,55,4,41,0,0,1170,1492
JAMMU & KASHMIR,AWANTIPORA,2001,46,1,65,39,32,7,151,481,86,11,171,0,161,1329,2541
JAMMU & KASHMIR,AWANTIPORA,2001,39,7,38,13,13,0,16,92,64,7,132,0,0,655,1063
JAMMU & KASHMIR,AWANTIPORA,2001,36,2,14,6,5,1,8,25,23,0,12,0,14,165,305
JAMMU & KASHMIR,AWANTIPORA,2001,74,0,77,31,31,0,39,120,44,19,74,0,97,975,1550
JAMMU & KASHMIR,AWANTIPORA,2001,26,1,17,23,18,5,19,36,37,14,9,0,35,417,634
JAMMU & KASHMIR,BANDIPORA,2001,69,18,7,34,20,14,11,58,99,18,14,0,103,405,836
JAMMU & KASHMIR,BANDIPORA,2001,25,7,20,5,5,0,6,46,30,10,31,0,70,272,522
JAMMU & KASHMIR,BANDIPORA,2001,166,28,62,175,138,37,123,670,347,47,337,0,337,3445,5737
JAMMU & KASHMIR,BANDIPORA,2001,39,11,13,19,13,6,7,45,50,7,10,0,70,295,566
JAMMU & KASHMIR,BANDIPORA,2001,56,5,12,13,7,6,19,40,24,11,4,0,26,305,515
JAMMU & KASHMIR,BARAMULLA,2001,1,0,0,0,0,0,0,1,1,0,0,0,0,17,20
JAMMU & KASHMIR,BARAMULLA,2001,1,0,0,0,0,0,0,1,1,0,0,0,0,17,20
JAMMU & KASHMIR,BARAMULLA,2001,25,1,9,4,3,1,4,111,100,1,3,0,166,2324,2748
JAMMU & KASHMIR,BARAMULLA,2001,25,1,9,4,3,1,4,111,100,1,3,0,166,2324,2748
KARNATAKA,BAGALKOT,2001,11,0,13,21,14,7,12,108,67,13,45,0,61,819,1170
KARNATAKA,BAGALKOT,2001,75,2,48,126,103,23,41,148,445,24,209,0,135,3478,4731
KARNATAKA,BAGALKOT,2001,34,6,42,223,223,0,49,365,257,5,312,0,172,2973,4438
KARNATAKA,BAGALKOT,2001,21,0,35,36,34,2,4,158,108,13,153,0,102,1519,2149
KARNATAKA,BAGALKOT,2001,33,4,36,120,103,17,33,222,229,2,157,0,76,1293,2205
KARNATAKA,BAGALKOT,2001,41,4,67,206,169,37,47,402,507,7,384,0,127,1452,3244
KARNATAKA,BAGALKOT,2001,26,1,24,26,14,12,11,129,198,8,174,0,65,893,1555
KARNATAKA,BAGALKOT,2001,28,0,9,40,26,14,14,148,717,8,60,0,140,1669,2833
KARNATAKA,BAGALKOT,2001,42,2,24,43,33,10,27,80,552,21,93,0,58,588,1530
KARNATAKA,BAGALKOT,2001,31,1,17,54,50,4,8,79,207,3,60,0,80,897,1437
KARNATAKA,BAGALKOT,2001,3,4,1,7,4,3,12,10,16,0,0,0,0,285,338
KARNATAKA,BAGALKOT,2001,51,0,55,79,65,14,14,253,36,13,375,0,135,2399,3410
KARNATAKA,BANGALORE COMMR.,2001,136,20,13,56,31,25,72,88,120,42,63,0,5,686,1301
KARNATAKA,BANGALORE COMMR.,2001,125,9,25,62,33,29,97,108,170,21,77,0,214,1081,1989
KARNATAKA,BANGALORE COMMR.,2001,49,9,17,30,25,5,27,79,122,16,39,0,68,428,884
KARNATAKA,BANGALORE COMMR.,2001,275,10,28,160,96,64,210,268,195,34,236,0,238,1688,3342
KARNATAKA,BANGALORE COMMR.,2001,44,8,16,14,6,8,18,77,28,23,39,0,118,289,674
KARNATAKA,BANGALORE COMMR.,2001,213,18,44,102,72,30,101,160,97,45,207,0,238,845,2070
KARNATAKA,BANGALORE COMMR.,2001,324,12,54,142,67,75,150,185,186,24,265,0,116,1274,2732
KARNATAKA,BANGALORE COMMR.,2001,115,12,64,66,47,19,62,92,84,44,195,0,49,804,1587
KARNATAKA,BANGALORE COMMR.,2001,76,22,18,43,35,8,44,129,101,33,44,0,100,883,1493
KARNATAKA,BANGALORE COMMR.,2001,87,26,58,58,50,8,41,160,94,29,137,0,127,814,1631
KARNATAKA,BANGALORE COMMR.,2001,89,26,22,44,27,17,35,71,51,18,49,0,62,565,1032
KARNATAKA,BANGALORE COMMR.,2001,101,14,41,75,52,23,65,79,161,21,196,0,47,1074,1874
KARNATAKA,BANGALORE RURAL,2001,16,4,9,17,16,1,4,18,27,7,26,0,53,163,344
KARNATAKA,BANGALORE RURAL,2001,196,37,55,112,68,44,70,83,61,66,146,0,67,790,1683
KARNATAKA,BANGALORE RURAL,2001,35,15,13,21,18,3,13,49,37,4,18,0,29,194,428
KARNATAKA,BANGALORE RURAL,2001,13,8,12,24,24,0,10,84,26,13,28,0,10,287,515
KARNATAKA,BANGALORE RURAL,2001,162,56,85,99,47,52,95,237,124,82,106,0,165,1945,3156
KARNATAKA,BANGALORE RURAL,2001,33,20,5,9,6,3,10,54,21,12,5,0,57,96,322
KARNATAKA,BANGALORE RURAL,2001,21,4,1,8,7,1,12,49,26,9,23,0,60,113,326
KARNATAKA,BANGALORE RURAL,2001,103,25,29,47,35,12,42,157,76,38,153,0,123,775,1568
KARNATAKA,BANGALORE RURAL,2001,147,15,53,97,79,18,74,85,147,63,168,0,162,1333,2344
KARNATAKA,BANGALORE RURAL,2001,78,17,27,55,35,20,95,161,85,31,119,0,179,787,1634
KARNATAKA,BANGALORE RURAL,2001,7601,1186,1958,4330,2879,1451,3825,8411,7343,2211,7365,0,7129,57839,109198
KARNATAKA,BANGALORE RURAL,2001,18,2,4,1,1,0,7,12,4,3,5,0,0,70,126
KERALA,ALAPUZHA,2001,22,4,4,4,1,3,10,189,33,2,6,0,110,404,788
KERALA,ALAPUZHA,2001,14,1,8,5,5,0,15,170,31,0,5,0,81,293,623
KERALA,ALAPUZHA,2001,36,5,12,9,6,3,25,359,64,2,11,0,191,697,1411
KERALA,ALAPUZHA,2001,90,60,39,143,117,26,192,695,191,7,530,0,0,6129,8076
KERALA,ALAPUZHA,2001,26,1,5,27,27,0,25,122,50,0,84,0,190,797,1327
